order_date,sku,product_name,city,darkstore,warehouse,units_sold,revenue
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Meerut,,,3,1185
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Faridabad,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Rajkot,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Ahmedabad,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
2026-06-12,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,HR-NCR,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,Kolkata,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,HR-NCR,,,1,345
2026-06-12,10274845,Real Nut Premium Cashew,Delhi,,,1,345
2026-06-12,10275571,Real Nut California Almonds,Lucknow,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Delhi,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Pune,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Vadodara,,,1,325
2026-06-12,10275571,Real Nut California Almonds,HR-NCR,,,1,325
2026-06-12,10275571,Real Nut California Almonds,Delhi,,,1,325
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,Lucknow,,,1,395
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,Kolkata,,,1,395
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,Pune,,,1,395
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,Ahmedabad,,,1,395
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,Bengaluru,,,1,395
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,UP-NCR,,,1,395
2026-06-13,10257695,Real Nut Roasted & Salted Flavoured Cashew,Bengaluru,,,1,395
2026-06-13,10257699,Real Nut Roasted & Salted Pistachios,Kolkata,,,1,450
2026-06-13,10257699,Real Nut Roasted & Salted Pistachios,Delhi,,,1,450
2026-06-13,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-13,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",UP-NCR,,,1,240
2026-06-13,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Mumbai,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Chennai,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Lucknow,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,UP-NCR,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Pune,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Pune,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Bengaluru,,,2,710
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Mumbai,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-13,10258370,Real Nut Roasted & Salted Flavoured Almonds,HR-NCR,,,1,355
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Lucknow,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,2,790
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,2,790
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Ahmedabad,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Haldwani,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-13,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-13,10274845,Real Nut Premium Cashew,Bengaluru,,,1,345
2026-06-13,10274845,Real Nut Premium Cashew,Pune,,,1,345
2026-06-13,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-13,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-13,10275571,Real Nut California Almonds,Chennai,,,1,325
2026-06-13,10275571,Real Nut California Almonds,Kolkata,,,1,325
2026-06-13,10275571,Real Nut California Almonds,Chennai,,,1,325
2026-06-14,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-14,10257695,Real Nut Roasted & Salted Flavoured Cashew,Bengaluru,,,1,395
2026-06-14,10257695,Real Nut Roasted & Salted Flavoured Cashew,Lucknow,,,1,395
2026-06-14,10257695,Real Nut Roasted & Salted Flavoured Cashew,Chennai,,,1,395
2026-06-14,10257695,Real Nut Roasted & Salted Flavoured Cashew,UP-NCR,,,1,395
2026-06-14,10257699,Real Nut Roasted & Salted Pistachios,Faridabad,,,1,450
2026-06-14,10257699,Real Nut Roasted & Salted Pistachios,Chennai,,,1,450
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Bengaluru,,,1,355
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Ahmedabad,,,1,355
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Pune,,,1,355
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Lucknow,,,1,355
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Bengaluru,,,1,355
2026-06-14,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Vadodara,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Agra,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Mumbai,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
2026-06-14,10274050,Real Nut Roasted Masala Flavoured Cashew,Bengaluru,,,1,395
2026-06-14,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-14,10274845,Real Nut Premium Cashew,Hyderabad,,,1,345
2026-06-14,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-14,10274845,Real Nut Premium Cashew,Rohtak,,,1,345
2026-06-14,10274845,Real Nut Premium Cashew,Lucknow,,,1,345
